SampleName,Type
CRC0456LMX0B02001TUMR05000,LMX
CRC0148LMX0A02201TUMR08000,LMX
CRC0583PRX0A02001TUMR01000,PRX
CRC0429LMX0B02001TUMR01000,LMX
CRC0576LMX0B02004TUMR02000,LMX
CRC0452LMX0A02004TUMR01000,LMX
CRC1247PRX0B02003TUMR01000,PRX
CRC0077LMX0A02201TUMR02000,LMX
CRC0481LMX0A03006TUMR01000,LMX
CRC0198LMX0B02203TUMR02000,LMX
CRC0344LMX0A02003TUMR12000,LMX
CRC0471LMX0A05002TUMR01000,LMX
CRC0218LMX0A02202TUMR02000,LMX
CRC0525LMX0A02003TUMR06000,LMX
CRC0578LMX0A03001TUMR02000,LMX
CRC0062LMX0A02201TUMR03000,LMX
CRC0226PRX0B01201TUMR01000,PRX
CRC1605LMX0B04001TUMR01000,LMX
CRC1779LMX0B02003TUMR01000,LMX
CRC1249PRX0A02002TUMR01000,PRX
CRC1624LMX0B02003TUMR01000,LMX
CRC0229LMX0B02201TUMR02000,LMX
CRC2041LMX0A02001TUMR01000,LMX
CRC0471LMX0A02002TUMR01000,LMX
CRC0348LMX0A03006TUMR01000,LMX
CRC1562LMX0B02001TUMR01000,LMX
CRC0031LMX0B02201TUMR04000,LMX
CRC0717LMX0A02002TUMR01000,LMX
CRC0486LMX0A02004TUMR01000,LMX
CRC1237PRX0A02003TUMR01000,PRX
CRC0216LMX0A02201TUMR02000,LMX
CRC0108LMX0B02201TUMR02000,LMX
CRC0773LMX0A02001TUMR01000,LMX
CRC0371LMX0B02004TUMR03000,LMX
CRC0051LMX0B01001TUMR01000,LMX
CRC0190LMX0B02201TUMR05000,LMX
CRC1182LMX0A03009TUMR01000,LMX
CRC0735PRX0A01001TUMR01000,PRX
CRC0616LMX0A02002TUMR01000,LMX
CRC0612PRX0A01001TUMR01000,PRX
CRC0053PRX0A02201TUMR03000,PRX
CRC0167LMX0B02201TUMR02000,LMX
CRC0072LMX0B02204TUMR02000,LMX
CRC0516LMX0B01001TUMR02000,LMX
CRC0354LMX0A02003TUMR02000,LMX
CRC1713PRX0A01001TUMR01000,PRX
CRC0467LMX0A02001TUMR01000,LMX
CRC0499LMX0B02001TUMR01000,LMX
CRC0050LMX0A03210TUMR01000,LMX
CRC0109LMX0A02204TUMR06000,LMX
CRC0501PRX0B02001TUMR02000,PRX
CRC0598LMX0A02002TUMR02000,LMX
CRC0166LMX0A02206TUMR05000,LMX
CRC1319PRX0A02004TUMR01000,PRX
CRC1409PRX0A01001TUMR01000,PRX
CRC0349LMX0A03008TUMR01000,LMX
CRC1903LMX0B02001TUMR01000,LMX
CRC1182LMX0A03002TUMR01000,LMX
CRC0324LMX0A02201TUMR02000,LMX
CRC1501LMX0A01001TUMR01000,LMX
CRC1883LMX0A02002TUMR01000,LMX
CRC0778LMX0B02002TUMR02000,LMX
CRC1378PRX0A01001TUMR01000,PRX
CRC0494LMX0A02004TUMR06000,LMX
CRC1241LMX0A02002TUMR01000,LMX
CRC0515LMX0A03003TUMR05000,LMX
CRC0753LMX0A02001TUMR01000,LMX
CRC0540LMX0A02001TUMR01000,LMX
CRC0610LMX0A02002TUMR01000,LMX
CRC0185LMX0B01201TUMR01000,LMX
CRC0743LMX0B04008TUMR01000,LMX
CRC1413PRX0A01001TUMR01000,PRX
CRC0104LMX0B02201TUMR04000,LMX
CRC0604LMX0A02001TUMR01000,LMX
CRC0549LMX0B02001TUMR01000,LMX
CRC1134PRX0A02003TUMR01000,PRX
CRC1278LMX0A02001TUMR01000,LMX
CRC0438LMX0A03011TUMR01000,LMX
CRC0382LMX0A02002TUMR02000,LMX
CRC1369LMX0B02001TUMR01000,LMX
CRC0115LMX0A02202TUMR01000,LMX
CRC1139LMX0A02001TUMR06000,LMX
CRC0539LMX0A02001TUMR02000,LMX
CRC0542LMX0B02004TUMR02000,LMX
CRC0065PRX0A02201TUMR01000,PRX
CRC0456LMX0A03003TUMR01000,LMX
CRC1064LMX0B02003TUMR01000,LMX
CRC1408LMX0A01001TUMR01000,LMX
CRC1721PRX0A01001TUMR09000,PRX
CRC0146LMX0B04049TUMR02000,LMX
CRC0207LMX0A02202TUMR02000,LMX
CRC0515LMX0A02002TUMR02000,LMX
CRC0404LMX0B03009TUMR09000,LMX
CRC1304PRX0A01001TUMR01000,PRX
CRC1144LMX0A02002TUMR01000,LMX
CRC0431LMX0A02003TUMR08000,LMX
CRC0313LMX0B02201TUMR02000,LMX
CRC0477LMX0A02004TUMR02000,LMX
CRC0422LMX0B02002TUMR02000,LMX
CRC0265LMX0B02202TUMR03000,LMX
CRC0506PRX0A01001TUMR01000,PRX
CRC0456LMX0A03004TUMR01000,LMX
CRC1436PRX0A01001TUMR01000,PRX
CRC0257LMX0A02202TUMR03000,LMX
CRC0166LMX0A05011TUMR05000,LMX
CRC0360PRX0B01201TUMR01000,PRX
CRC0438LMX0A03002TUMR01000,LMX
CRC0479LMX0A02002TUMR01000,LMX
CRC0416LMX0A03012TUMR05000,LMX
CRC1504PRX0A01001TUMR01000,PRX
CRC0574LMX0A04005TUMR03000,LMX
